From,To,Puffs,"Puffs per Day","% Temp-Protected","Time per Puff (s)","Time per Day (s)","Energy per Puff (mWh)","Energy per Day (mWh)","Mean Power (W)","Mean Temperature (F)","Mean Peak Temperature (F)"
2017-10-24,2017-10-25,14.54330184262,14.54330184262,0,1.5552135231317,22.617939696629,8.9949377224199,130.81609435273,20.810088967972,,
2017-10-25,2017-12-18,1098.6242200209,20.34489296335,0,1.5552135231317,31.640652663268,8.9949377224199,183.00104517463,20.810088967972,,
2017-12-18,2017-12-19,274.33827611124,274.33827611124,0.72902696202298,1.8106643799861,496.73454462141,9.9719535042187,2735.6885338088,19.736639061744,13.17,607.425
2017-12-19,2017-12-20,790.8024194379,790.8024194379,0,2.0422388131929,1615.0073945429,11.422861149319,9033.2262337843,20.388049234543,,
2017-12-20,2017-12-29,5975.6714107937,663.96349008818,0,2.2286705114585,1479.7558510446,13.254298072545,8800.3700069162,21.600218546062,,
2017-12-29,2017-12-30,656.95401689244,656.95401689244,0,2.2354849828075,1468.6108391581,13.435026441537,8826.1945878241,21.87607531842,,
2017-12-30,2017-12-31,572.48823826015,572.48823826015,0,2.2776450099946,1303.9249791539,14.603960270748,8360.5954870219,23.768425074985,,
2017-12-31,2018-01-02,1489.0163187889,744.50815939447,0,2.2522780913289,1676.8394162198,14.170225756798,10549.848696398,23.340733709595,,
2018-01-02,2018-01-03,758.17306599646,758.17306599646,0,2.2996882018516,1743.5616548337,14.798374024577,11219.728605976,23.785086685976,,
2018-01-03,2018-01-07,2986.0683482649,746.51708706623,0,2.37549224116,1773.3455482192,15.477155939964,11553.961368372,24.018435512592,,
2018-01-07,2018-01-08,635.32038359079,635.32038359079,0,2.3725568365047,1507.3337194591,15.440699437076,9809.791089273,23.980384860118,,
